Started
Accelerometer sample rate = 119.00 Hz

Acceleration in G's
X	Y	Z
-0.55	0.87	0.30
-0.50	0.75	0.29
-0.54	0.71	0.27
-0.56	0.92	0.32
-0.62	1.09	0.37
-0.55	0.89	0.35
-0.44	0.53	-0.53
-0.75	1.02	0.63
-0.56	0.65	0.57
-0.49	0.71	0.43
-0.58	0.81	0.40
-0.52	0.75	0.37
-0.48	0.76	0.34
-0.48	0.76	0.38
-0.46	0.72	0.37
-0.46	0.74	0.35
-0.44	0.74	0.34
-0.46	0.74	0.35
-0.47	0.73	0.35
-0.45	0.70	0.34
-0.48	0.71	0.34
-0.47	0.71	0.31
-0.44	0.69	0.32
-0.49	0.72	0.32
-0.51	0.73	0.32
-0.62	0.74	0.29
-0.55	0.80	0.30
-0.47	0.83	0.29
-0.44	0.88	0.27
-0.47	0.90	0.24
-0.56	0.89	0.23
-0.57	0.87	0.21
-0.44	0.81	0.18
-0.41	0.77	0.18
-0.42	0.77	0.22
-0.59	0.80	0.29
-0.46	0.84	0.28
-0.39	0.83	0.25
-0.38	0.83	0.21
-0.46	0.83	0.24
-0.56	0.81	0.25
-0.51	0.84	0.29
-0.41	0.84	0.28
-0.47	0.76	0.26
-0.49	0.75	0.26
-0.45	0.78	0.25
-0.43	0.82	0.25
-0.47	0.84	0.26
-0.55	0.84	0.30
-0.54	0.85	0.32
-0.48	0.83	0.38
-0.37	0.75	0.18
-0.29	0.75	0.02
-0.54	0.87	0.34
-0.67	0.87	0.53
-0.44	0.79	0.40
-0.31	0.74	0.29
-0.43	0.78	0.30
-0.55	0.88	0.37
-0.54	0.86	0.43
-0.43	0.76	0.39
-0.45	0.86	0.36
-0.64	0.87	0.29
-0.49	0.79	0.22
-0.16	0.78	0.08
-0.52	0.93	0.24
-0.53	0.84	0.37
-0.40	0.83	0.35
-0.51	0.79	0.38
-0.66	0.75	0.56
-0.43	0.72	0.69
-0.47	0.68	0.72
-0.51	0.65	0.62
-0.54	0.64	0.60
-0.59	0.73	0.61
-0.58	0.77	0.70
-0.56	0.74	0.73
-0.64	0.81	0.77
-0.70	0.84	0.80
-0.72	0.88	0.90
-0.55	0.83	1.00
-0.49	0.90	1.02
-0.41	0.89	1.04
-0.79	1.06	1.12
-0.87	1.19	1.17
-0.10	1.00	0.72
-0.51	1.00	0.65
-0.82	1.10	0.77
-0.61	1.02	0.66
-0.21	0.88	0.51
-0.30	0.86	0.52
-0.29	0.97	0.57
-0.31	1.02	0.63
-0.31	1.16	0.64
-0.43	1.26	0.57
-0.58	1.20	0.53
-0.72	1.12	0.50
-0.97	0.87	0.60
-0.66	1.01	0.48
-0.61	1.23	0.35
-0.26	1.35	0.39
-0.24	1.27	0.39
-0.23	1.14	0.37
0.03	1.07	0.25
0.35	0.93	0.27
0.11	0.68	0.10
0.33	0.20	0.13
0.29	-0.02	0.09
0.29	-0.16	0.21
0.27	-0.21	0.20
0.49	-0.15	0.12
0.54	-0.08	-0.09
0.63	-0.02	-0.10
0.54	0.10	0.02
0.61	0.05	0.07
0.63	-0.02	0.02
0.57	-0.16	0.04
0.56	-0.38	0.09
0.56	-0.59	0.14
0.56	-0.74	0.21
0.57	-0.85	0.27
0.62	-0.80	0.29
0.66	-0.66	0.30
0.65	-0.57	0.32
0.70	-0.52	0.35
0.70	-0.44	0.47
0.62	-0.43	0.69
0.49	-0.44	0.86
0.40	-0.55	0.95
0.51	-0.69	0.85
0.60	-0.52	1.22
0.91	-0.39	0.63
-0.58	-0.40	-1.91
-0.76	0.85	1.42
0.01	0.11	2.28
0.85	-0.48	1.47
1.05	-0.72	0.63
-0.10	-0.98	0.68
-0.05	-0.57	1.28
0.25	-0.43	1.10
0.12	1.18	0.72
-0.52	0.52	1.06
-0.42	0.11	1.08
-0.07	-0.34	1.34
0.09	-0.35	1.30
-0.05	-0.18	1.60
-0.14	-0.13	1.60
-0.17	-0.12	1.45
-0.22	-0.03	1.41
-0.40	0.28	0.81
-0.53	0.51	0.77
-0.47	0.45	0.96
-0.18	0.49	0.97
0.14	0.41	1.24
-0.01	0.31	1.24
-0.35	0.26	1.19
-0.53	0.26	1.21
-0.52	0.30	1.15
-0.43	0.36	1.09
-0.45	0.36	-0.26
-0.20	0.52	0.98
-0.22	0.53	1.10
-0.80	0.43	0.39
-0.17	0.66	0.84
0.01	0.62	0.93
-0.22	0.60	0.95
-0.46	0.50	0.84
-0.48	0.52	0.84
-0.55	0.19	0.49
0.43	-1.76	-2.13
0.30	0.18	-0.44
-0.39	0.36	0.13
-0.62	0.79	1.20
-0.78	0.78	1.37
-0.88	0.77	1.16
-0.87	0.80	1.15
-0.95	0.85	1.27
-0.87	1.04	1.08
-0.40	3.55	0.76
-0.66	2.23	0.36
-1.46	0.75	0.43
-2.06	-0.03	0.49
-1.02	-4.00	2.15
1.47	0.20	1.48
-0.59	0.56	0.37
-1.18	0.47	0.12
-0.56	0.85	0.83
-0.67	0.82	0.85
-0.52	0.91	0.61
-0.48	0.92	0.45
-0.59	1.05	0.65
-0.92	0.64	0.66
-1.05	-0.05	0.32
-0.76	-0.60	0.45
1.54	2.07	0.17
-1.08	0.94	0.96
-1.05	0.63	0.71
-1.02	0.20	0.51
-0.73	0.40	0.70
-0.76	0.50	0.95
-0.02	1.00	0.14
-0.72	0.54	0.89
-1.00	0.07	1.20
-0.77	0.17	0.86
-0.57	0.39	0.87
-0.54	0.36	0.61
-0.48	0.49	0.60
-0.56	0.52	0.65
-0.61	0.32	0.62
-0.82	0.03	0.46
0.75	0.17	-0.44
-0.44	0.22	0.44
-0.84	0.21	0.85
-0.87	0.26	0.85
-0.66	0.22	0.65
-0.76	0.24	0.59
-0.71	0.37	0.61
-0.74	0.40	0.66
-0.74	0.48	0.66
-0.59	0.57	0.53
-0.54	0.65	0.60
-0.41	0.77	0.55
-0.52	0.85	0.48
-0.74	0.79	0.45
-0.77	0.81	0.49
-0.86	0.78	0.56
-0.85	0.57	0.58
-0.77	0.47	0.61
-0.74	0.45	0.65
-0.73	0.45	0.61
-0.70	0.51	0.60
-0.67	0.52	0.57
-0.69	0.54	0.59
-0.76	0.63	0.58
-0.90	0.71	0.65
-1.03	0.75	0.62
-1.18	0.78	0.65
-1.19	0.63	0.66
-1.01	0.52	0.75
-0.70	0.61	0.96
-0.40	0.68	0.87
-0.75	0.86	0.73
-0.81	0.90	0.70
-0.79	0.94	0.71
-0.76	1.00	0.73
-0.68	0.97	0.69
-0.54	0.97	0.52
-0.52	1.01	0.48
-0.56	1.10	0.38
-0.50	1.03	0.08
-0.51	1.02	0.05
-0.54	0.77	-0.13
-0.86	0.76	-0.06
-0.73	0.63	-0.01
-0.56	0.56	-0.13
-0.43	0.50	-0.34
-0.37	0.44	-0.59
-0.73	-0.84	-1.11
-1.06	4.00	1.59
-0.12	2.31	0.75
0.25	0.69	-0.98
-0.14	1.01	0.04
-0.23	0.87	-0.18
-0.29	0.93	-0.29
-0.10	1.08	-0.56
-0.17	0.68	-0.55
-0.28	0.61	-0.45
-0.06	0.85	-0.61
0.07	0.84	-0.48
0.31	0.88	-0.46
0.08	0.96	-0.42
0.09	0.96	-0.43
0.13	0.98	-0.57
0.20	0.80	-0.51
0.36	0.54	-0.29
0.39	0.60	-0.27
0.41	0.59	-0.48
0.25	0.40	-0.40
0.23	-0.18	0.37
0.35	-0.17	0.00
0.40	-0.02	-0.05
0.16	0.10	0.00
0.22	0.01	0.14
0.30	0.04	0.20
0.33	0.21	0.21
0.34	0.08	0.29
0.35	-0.15	0.38
0.34	-0.30	0.56
0.34	-0.44	0.82
0.22	-0.51	1.00
0.21	-0.55	1.21
0.24	-0.48	1.32
0.34	-0.41	1.28
0.48	-0.22	1.16
0.45	-0.04	1.02
0.27	-0.04	0.94
0.17	-0.16	0.90
0.14	-0.22	0.99
0.10	-0.37	1.00
0.14	-0.46	0.99
0.19	-0.50	0.98
0.24	-0.37	1.06
0.30	-0.33	1.12
0.32	-0.36	1.19
0.20	-0.42	1.25
0.04	-0.44	1.43
0.03	-0.45	1.60
0.04	-0.45	1.31
0.40	-0.37	1.11
0.08	-0.43	1.18
-0.11	-0.34	0.69
0.11	-0.45	0.96
0.18	-0.29	1.08
0.17	-0.24	0.96
0.02	-0.35	0.90
0.05	-0.46	1.05
-0.17	-0.48	1.05
-0.13	-0.49	1.01
-0.01	-0.42	0.95
0.14	-0.39	1.03
0.24	-0.33	1.24
0.24	-0.41	1.21
0.21	-0.49	0.98
0.06	-0.32	0.83
-0.17	-0.61	0.67
-0.27	-0.64	0.36
-0.11	-0.02	0.34
0.09	0.46	0.94
-0.00	0.42	1.19
-0.09	-0.04	1.31
0.11	0.19	1.16
0.14	0.60	1.14
-0.22	-0.06	1.21
0.07	0.42	0.77
-0.26	-0.12	1.01
-0.07	-0.03	1.00
0.37	1.92	0.43
-0.08	1.07	0.74
-0.40	0.59	0.19
-0.54	0.63	0.39
-0.34	1.15	0.39
-0.51	0.95	0.52
-0.45	0.69	0.89
-0.24	0.60	0.87
-0.36	0.35	0.99
-0.56	0.31	1.03
-0.52	0.47	0.96
-0.91	0.18	0.56
-0.36	0.31	1.03
-0.35	0.11	0.94
-0.41	0.27	1.00
-0.28	0.55	0.98
-0.36	0.54	0.85
-0.19	0.55	0.92
-0.21	0.46	0.82
-0.40	0.49	0.90
-0.43	0.63	0.91
-0.49	0.49	0.73
-0.59	0.30	0.61
-0.52	0.15	0.33
-0.19	0.96	0.69
-0.31	1.19	0.94
-0.75	0.38	1.23
-0.59	-0.10	2.34
-0.34	-0.02	1.85
0.04	0.58	0.90
-0.09	0.71	0.47
-0.59	0.55	0.15
-0.22	-3.05	-2.70
0.12	0.78	2.54
-0.45	-0.10	1.26
-0.55	0.57	0.24
-0.59	0.63	0.75
-0.58	0.49	0.88
-0.63	0.64	0.76
-0.69	0.75	0.90
-0.11	1.13	1.00
-0.77	0.61	0.89
-0.65	0.83	0.88
-0.94	0.65	0.90
-0.91	0.90	0.82
-0.89	0.67	0.81
-0.81	0.76	0.76
-0.85	0.96	0.57
-0.93	0.86	0.56
-0.89	0.79	0.77
-0.95	0.97	0.89
-1.01	1.06	0.93
-0.97	1.05	0.90
-0.98	1.05	0.85
-0.95	0.99	0.73
-0.82	0.91	0.62
-0.65	0.87	0.47
-0.54	0.84	0.37
-0.53	0.64	0.58
-0.51	0.94	0.68
-0.72	1.25	0.69
-0.89	0.94	0.35
-0.66	1.05	0.54
-0.64	1.17	0.76
-0.78	0.88	0.79
-0.64	1.29	0.53
-0.56	1.01	0.28
-0.29	0.80	0.22
-0.23	0.71	0.10
0.11	0.67	0.10
0.25	0.61	0.05
0.04	0.60	0.11
-0.15	0.82	0.27
-0.07	0.72	0.22
0.11	0.60	0.18
0.16	0.48	0.13
0.36	0.41	0.08
0.39	0.43	0.23
0.30	0.24	0.25
0.17	0.59	0.37
0.22	0.68	0.27
0.45	0.53	0.21
0.50	0.04	0.33
0.36	0.05	0.39
0.59	0.02	0.42
0.58	-0.18	0.21
0.55	-0.39	0.10
0.14	1.34	-0.24
0.24	-0.10	0.02
0.20	-0.33	0.28
0.22	-0.23	0.28
0.35	-0.30	0.33
0.42	-0.53	0.42
0.37	-0.91	0.45
0.46	-1.08	0.58
0.46	-1.13	0.48
0.38	-1.03	0.40
0.39	-1.10	0.43
0.32	-1.04	0.33
0.28	-0.99	0.20
0.25	-0.86	0.31
0.22	-0.74	0.34
0.22	-0.63	0.58
0.20	-0.52	0.67
0.14	-0.56	0.71
-0.02	-0.42	0.89
0.14	-0.40	1.06
0.08	-0.38	1.12
0.12	-0.09	1.06
0.04	0.39	0.84
-0.11	-0.56	1.35
-0.02	-0.71	1.45
0.05	-0.61	1.08
0.04	-0.28	1.05
-0.01	-0.15	1.25
0.10	-0.21	1.44
0.20	-0.17	1.52
0.11	-0.15	1.49
0.03	-0.18	1.31
-0.03	-0.40	1.30
0.01	-0.46	1.25
0.17	-0.21	1.12
-0.07	0.46	1.20
-1.52	3.50	2.42
0.17	-4.00	2.63
0.21	0.43	-1.20
-1.14	0.02	1.65
-0.77	0.63	0.78
-0.67	1.68	1.45
-1.72	1.13	1.81
0.62	-0.45	-0.37
1.37	-0.57	-0.47
-0.18	-0.55	0.53
-0.64	0.11	1.37
-0.73	0.16	1.17
-0.58	0.03	0.90
-0.38	0.04	0.83
-0.28	-0.10	0.90
-0.36	-0.04	0.86
-0.58	0.15	0.85
-0.57	-0.09	0.95
-0.57	-0.08	1.13
-0.49	0.11	1.33
0.16	0.57	0.92
-0.52	1.41	1.08
-0.50	0.35	0.91
-0.50	0.34	0.82
-0.69	0.16	0.92
-0.82	0.58	0.89
-1.01	0.49	0.77
-1.01	0.59	0.73
-1.00	0.63	0.82
-0.91	0.62	0.93
-0.75	0.51	1.09
-0.53	0.44	1.38
-0.34	0.39	1.60
-0.36	0.47	1.53
-0.44	0.60	1.33
-0.55	0.71	1.24
-0.75	0.85	1.30
-0.77	0.71	1.12
-0.80	0.74	0.97
-0.85	0.60	0.81
-0.52	0.70	0.72
-0.49	0.53	0.69
-0.30	0.87	0.75
-0.25	0.92	0.71
-0.20	0.81	0.69
-0.12	0.87	0.69
0.09	0.93	0.84
-0.04	0.82	0.84
-0.68	0.83	0.39
-0.61	0.91	0.40
-0.17	0.76	0.40
0.04	0.59	0.45
0.06	0.62	0.28
-0.04	0.67	0.30
-0.02	0.61	0.24
-0.02	0.84	0.43
-0.08	0.74	0.36
0.16	0.59	0.25
0.20	0.36	0.07
0.34	0.46	0.15
0.55	0.16	0.05
0.76	-0.29	-0.21
0.57	0.17	1.02
-0.11	0.57	0.72
0.42	0.98	0.27
0.57	0.48	-0.12
0.41	-0.02	0.03
0.51	-0.23	0.11
0.60	0.03	0.08
0.56	0.05	0.07
0.51	0.06	0.17
0.54	-0.10	0.17
0.61	-0.33	0.13
0.65	-0.31	0.19
0.53	0.02	0.12
0.52	-0.20	0.04
0.51	-0.38	0.16
0.55	-0.59	0.14
0.66	-0.64	0.17
0.63	-0.71	0.23
0.65	-0.80	0.24
0.64	-0.79	0.30
0.61	-0.77	0.39
0.68	-0.74	0.38
0.72	-0.70	0.37
0.70	-0.53	0.41
0.76	-0.59	0.42
0.79	-0.84	0.09
0.50	-1.23	0.32
0.34	-1.51	0.59
0.44	-1.57	0.75
0.39	-1.40	0.76
0.36	-1.22	0.67
0.34	-1.08	0.56
0.25	-0.96	0.60
0.12	-0.93	0.65
0.12	-0.99	0.79
0.18	-0.91	1.04
-0.27	-1.10	1.18
0.33	-0.90	1.26
0.39	-0.61	1.40
0.25	0.84	2.20
1.27	-3.50	1.36
0.38	-1.74	0.56
-0.15	-1.05	1.03
-0.18	-0.77	0.32
-0.10	0.38	0.84
-0.42	0.53	0.94
-0.42	0.25	1.06
-0.29	0.41	1.32
-0.33	0.48	1.71
-0.22	-0.10	1.22
-0.15	-2.07	-0.69
-0.22	-0.79	1.01
0.89	0.72	0.88
-0.01	0.48	0.99
-0.15	0.56	0.88
-0.23	0.55	0.67
-0.17	0.53	0.65
-0.27	0.65	0.55
-0.39	0.78	0.61
-0.48	0.90	0.68
-0.59	0.98	0.76
-0.58	1.00	0.82
-0.57	1.01	0.88
-0.61	0.99	0.88
-0.64	1.00	0.81
-0.62	1.00	0.69
-0.63	0.96	0.58
-0.59	0.92	0.50
-0.57	0.91	0.43
-0.54	0.93	0.40
-0.52	1.00	0.39
-0.61	1.03	0.46
-0.63	1.02	0.51
-0.55	1.13	0.46
-0.36	1.25	0.37
-0.21	1.11	0.42
-0.28	1.16	0.32
-0.64	1.15	0.26
-0.71	1.14	0.24
-0.67	1.07	0.25
-0.48	1.06	0.26
-0.05	1.29	0.73
-0.11	1.22	0.28
-0.15	0.99	0.43
0.24	0.64	0.98
0.43	0.55	1.04
0.21	0.51	0.96
0.17	0.30	0.82
0.07	0.22	1.09
0.29	0.11	1.13
-1.03	-0.59	1.25
-1.47	-0.15	0.99
-2.22	0.34	1.04
-2.19	0.94	1.56
0.27	-0.18	2.22
-0.34	-0.31	1.84
0.29	1.28	1.98
0.50	-0.72	2.00
-0.11	-0.85	1.83
-0.10	-0.47	1.43
-0.27	-0.30	1.34
-0.39	-0.30	1.30
-0.25	-0.08	1.31
-0.28	-0.06	1.38
-0.42	-0.10	1.49
-1.11	-0.41	1.23
0.54	-0.53	1.28
0.61	-0.54	0.96
1.05	-0.43	1.04
-0.30	0.08	1.09
-0.11	-0.09	1.30
0.07	-0.03	0.95
0.05	-0.07	1.05
-0.08	-0.12	0.98
0.05	0.11	0.81
-0.19	0.37	0.54
0.04	0.83	0.35
0.09	1.06	0.39
-0.39	1.00	0.51
0.19	1.70	0.15
-0.46	1.47	0.42
-0.90	1.57	0.22
-0.97	1.62	0.19
-0.93	1.61	0.25
-0.68	1.48	0.26
-0.97	1.45	0.20
-0.98	1.34	0.20
-0.63	1.02	0.27
-0.52	0.98	0.17
-0.45	0.97	0.12
-0.41	0.89	0.17
-0.42	0.89	0.14
-0.40	0.91	0.17
-0.47	0.97	0.26
-0.55	1.00	0.25
-0.53	0.97	0.26
-0.46	0.93	0.29
-0.37	0.91	0.29
-0.42	1.29	0.16
0.00	0.84	0.45
0.28	0.67	0.64
0.00	0.67	0.94
-0.17	0.90	1.09
0.03	0.93	1.16
0.58	1.07	0.91
-0.81	-0.03	1.95
-1.01	0.49	1.22
-0.14	0.04	1.34
-0.82	0.82	0.30
-0.90	0.15	1.33
0.03	-0.59	1.81
-0.33	-0.11	1.60
-1.16	0.10	1.82
-1.23	0.38	1.77
-0.81	0.24	1.79
-0.33	-0.28	1.98
0.05	-0.77	1.79
0.29	-3.42	0.99
0.24	-1.49	1.53
-0.99	-0.50	1.38
-0.85	0.01	1.30
-0.52	-0.03	1.33
-0.19	-0.18	1.27
-0.13	-0.29	1.16
0.25	-0.32	1.05
0.45	-0.23	0.96
0.54	-0.10	0.85
0.66	0.10	0.77
0.69	0.48	0.66
0.81	0.76	0.43
0.74	1.00	0.24
0.87	1.40	0.03
2.05	2.06	-0.75
0.94	1.37	1.44
-0.33	0.37	0.54
-0.85	0.23	0.23
-1.69	0.16	0.54
-2.52	0.75	1.05
-1.95	1.72	0.40
-0.25	1.20	-0.04
0.10	1.16	-0.33
-0.21	1.17	-0.53
-0.32	1.12	-0.56
-0.39	0.98	-0.50
-0.19	0.84	-0.32
0.41	0.97	-0.37
0.55	0.96	-0.39
0.18	0.74	-0.24
-0.10	0.52	-0.18
-0.14	0.49	-0.07
-0.08	0.52	0.02
-0.05	0.54	0.13
-0.11	0.50	0.21
-0.78	0.95	-0.32
-3.36	4.00	0.91
-1.34	2.55	0.10
0.05	1.44	-0.09
-0.25	1.02	0.59
-0.60	0.73	0.58
-0.68	0.65	0.59
-0.70	0.63	0.50
-0.87	0.32	0.58
-1.10	0.09	1.05
-0.91	-0.08	1.19
-0.38	-0.07	1.13
-0.02	-0.22	1.20
0.21	-0.32	1.26
0.31	-0.32	1.37
0.22	-0.29	1.44
0.04	-0.27	1.44
-0.02	-0.14	1.44
-0.03	-0.01	1.39
-0.05	0.13	1.34
-0.11	0.24	1.26
-0.19	0.31	1.15
-0.28	0.36	1.03
-0.36	0.41	0.92
-0.43	0.45	0.81
-0.47	0.49	0.71
-0.51	0.53	0.62
-0.54	0.57	0.54
-0.56	0.61	0.48
-0.59	0.65	0.42
-0.61	0.68	0.36
-1.64	4.00	-0.31
-1.33	1.94	-0.14
-0.27	1.44	-0.49
-0.16	1.47	-1.14
